Date,Close
2025-07-01,60850
2025-07-02,61210
2025-07-03,60540
2025-07-04,61020
2025-07-05,61880
2025-07-06,62310
2025-07-07,61950
2025-07-08,62590
2025-07-09,63040
2025-07-10,62870
2025-07-11,63220
2025-07-12,63580
2025-07-13,64010
2025-07-14,63800
2025-07-15,64250
2025-07-16,64590
2025-07-17,65030
2025-07-18,65210
2025-07-19,65540
2025-07-20,65880
2025-07-21,66230
2025-07-22,66050
2025-07-23,66410
2025-07-24,66720
2025-07-25,66990
2025-07-26,67230
2025-07-27,67580
2025-07-28,67810
2025-07-29,68050
2025-07-30,68390
2025-07-31,68620
2025-08-01,68810
2025-08-02,69040
2025-08-03,69280
2025-08-04,69530
2025-08-05,69710
2025-08-06,69980
2025-08-07,70150
2025-08-08,70320
2025-08-09,70540
2025-08-10,70680
2025-08-11,70890
2025-08-12,71020
2025-08-13,71250
2025-08-14,71440
2025-08-15,71670
2025-08-16,71890
2025-08-17,72050
2025-08-18,72280
2025-08-19,72410
2025-08-20,72560
2025-08-21,72790
2025-08-22,72940
2025-08-23,73110
2025-08-24,73280
2025-08-25,73420
2025-08-26,73590
2025-08-27,73650
2025-08-28,73820
2025-08-29,73980
2025-08-30,74150
2025-08-31,74290
2025-09-01,74440
2025-09-02,74610
2025-09-03,74780
2025-09-04,74910
2025-09-05,75080
2025-09-06,75230
2025-09-07,75390
2025-09-08,75510
2025-09-09,75640
2025-09-10,75820
2025-09-11,75940
2025-09-12,76080
2025-09-13,76210
2025-09-14,76330
2025-09-15,76480
2025-09-16,76620
2025-09-17,76750
2025-09-18,76890
2025-09-19,77040
2025-09-20,77180
2025-09-21,77290
2025-09-22,77430
2025-09-23,77560
2025-09-24,77680
2025-09-25,77840
2025-09-26,77990
2025-09-27,78110
2025-09-28,78230
2025-09-29,78340
2025-09-30,78490
2025-10-01,78610
2025-10-02,78730
2025-10-03,78880
2025-10-04,78990
2025-10-05,79120
2025-10-06,79240
2025-10-07,79390
2025-10-08,79530
2025-10-09,79650
2025-10-10,79780
2025-10-11,79940
2025-10-12,80060
2025-10-13,80190
2025-10-14,80310
2025-10-15,80450
2025-10-16,80580
2025-10-17,80710
2025-10-18,80860
2025-10-19,80990
2025-10-20,81140
2025-10-21,81280
2025-10-22,81410
2025-10-23,81530
2025-10-24,81680
2025-10-25,81810
2025-10-26,81960
2025-10-27,82090
2025-10-28,82230
2025-10-29,82350
2025-10-30,82490
2025-10-31,82620
2025-11-01,82740
2025-11-02,82870
2025-11-03,82990
2025-11-04,83140
2025-11-05,83260
2025-11-06,83390
2025-11-07,83510
2025-11-08,83640
2025-11-09,83760
2025-11-10,83890
